,SP500_Close,SP500_Volume,VIX_Close,Interest_Rate,CPI_Close
2018-01-01,,,,,248.859
2018-01-02,2695.81005859375,3397430000.0,9.770000457763672,1.378000020980835,
2018-01-03,2713.06005859375,3544030000.0,9.149999618530273,1.3700000047683716,
2018-01-04,2723.989990234375,3697340000.0,9.220000267028809,1.3700000047683716,
2018-01-05,2743.14990234375,3239280000.0,9.220000267028809,1.3700000047683716,
2018-01-08,2747.7099609375,3246160000.0,9.520000457763672,1.3799999952316284,
2018-01-09,2751.2900390625,3467460000.0,10.079999923706055,1.4149999618530273,
2018-01-10,2748.22998046875,3579900000.0,9.819999694824219,1.3949999809265137,
2018-01-11,2767.56005859375,3645690000.0,9.880000114440918,1.402999997138977,
2018-01-12,2786.239990234375,3587220000.0,10.15999984741211,1.409999966621399,
2018-01-16,2776.419921875,4362880000.0,11.65999984741211,1.3949999809265137,
2018-01-17,2802.56005859375,3790340000.0,11.90999984741211,1.4149999618530273,
2018-01-18,2798.030029296875,3703300000.0,12.220000267028809,1.4049999713897705,
2018-01-19,2810.300048828125,3724230000.0,11.270000457763672,1.402999997138977,
2018-01-22,2832.969970703125,3489480000.0,11.029999732971191,1.3899999856948853,
2018-01-23,2839.1298828125,3541140000.0,11.100000381469727,1.4129999876022339,
2018-01-24,2837.5400390625,4079270000.0,11.470000267028809,1.409999966621399,
2018-01-25,2839.25,3873100000.0,11.579999923706055,1.3930000066757202,
2018-01-26,2872.8701171875,3474680000.0,11.079999923706055,1.3880000114440918,
2018-01-29,2853.530029296875,3587420000.0,13.84000015258789,1.375,
2018-01-30,2822.429931640625,4012070000.0,14.789999961853027,1.4249999523162842,
2018-01-31,2823.81005859375,4276270000.0,13.539999961853027,1.4299999475479126,
2018-02-01,2821.97998046875,3977380000.0,13.470000267028809,1.4529999494552612,249.529
2018-02-02,2762.1298828125,4340220000.0,17.309999465942383,1.4500000476837158,
2018-02-05,2648.93994140625,5310840000.0,37.31999969482422,1.4579999446868896,
2018-02-06,2695.139892578125,5917350000.0,29.979999542236328,1.4880000352859497,
2018-02-07,2681.659912109375,4646300000.0,27.729999542236328,1.5149999856948853,
2018-02-08,2581.0,5333840000.0,33.459999084472656,1.5149999856948853,
2018-02-09,2619.550048828125,5690110000.0,29.059999465942383,1.524999976158142,
2018-02-12,2656.0,4069220000.0,25.610000610351562,1.534999966621399,
2018-02-13,2662.93994140625,3503540000.0,24.969999313354492,1.5700000524520874,
2018-02-14,2698.6298828125,4011940000.0,19.260000228881836,1.5499999523162842,
2018-02-15,2731.199951171875,3696140000.0,19.1299991607666,1.559999942779541,
2018-02-16,2732.219970703125,3646920000.0,19.459999084472656,1.5700000524520874,
2018-02-20,2716.260009765625,3646920000.0,20.600000381469727,1.5729999542236328,
2018-02-21,2701.330078125,3789040000.0,20.020000457763672,1.6080000400543213,
2018-02-22,2703.9599609375,3720620000.0,18.719999313354492,1.6050000190734863,
2018-02-23,2747.300048828125,3200360000.0,16.489999771118164,1.6050000190734863,
2018-02-26,2779.60009765625,3436590000.0,15.800000190734863,1.6080000400543213,
2018-02-27,2744.280029296875,3752070000.0,18.59000015258789,1.6349999904632568,
2018-02-28,2713.830078125,4244570000.0,19.850000381469727,1.6180000305175781,
2018-03-01,2677.669921875,4514490000.0,22.469999313354492,1.590000033378601,249.577
2018-03-02,2691.25,3891250000.0,19.59000015258789,1.6050000190734863,
2018-03-05,2720.93994140625,3733640000.0,18.729999542236328,1.625,
2018-03-06,2728.1201171875,3389030000.0,18.360000610351562,1.6430000066757202,
2018-03-07,2726.800048828125,3406690000.0,17.760000228881836,1.649999976158142,
2018-03-08,2738.969970703125,3206040000.0,16.540000915527344,1.6349999904632568,
2018-03-09,2786.570068359375,3376870000.0,14.640000343322754,1.6349999904632568,
2018-03-12,2783.02001953125,3216960000.0,15.779999732971191,1.6430000066757202,
2018-03-13,2765.31005859375,3324290000.0,16.350000381469727,1.690000057220459,
2018-03-14,2749.47998046875,3394630000.0,17.229999542236328,1.718000054359436,
2018-03-15,2747.330078125,3543710000.0,16.59000015258789,1.7330000400543213,
2018-03-16,2752.010009765625,5429140000.0,15.800000190734863,1.7380000352859497,
2018-03-19,2712.919921875,3327460000.0,19.020000457763672,1.7280000448226929,
